739,1983,Landry,f,50
440,1386,Atkins,m,26
643,1031,Wilson,f,79
556,1208,Coleman,m,28
973,1326,Berry,f,95
323,1872,Anderson,f,61
182,1114,Hill,m,93
500,1856,Yates,m,19
149,1835,Howe,m,44
476,1132,Porter,f,57
474,1149,Kaiser,m,48
169,1585,Williams,m,25
393,1871,Frost,m,82
632,1501,Collins,f,15
100,1841,King,f,81
892,1139,Holland,m,88
990,1719,Ayers,m,65
473,1863,Hartman,f,18
753,1301,Maxwell,m,94
250,1252,Hunt,f,73
491,1753,Keller,m,87
298,1321,Garcia,m,41
561,1788,Patterson,m,69
133,1591,Jones,m,53
961,1845,Morton,f,24
957,1854,Mejia,f,27
626,1473,Davis,f,27
837,1556,Garcia,f,41
171,1225,Cameron,m,67
947,1255,Steele,f,88
790,1089,Beck,m,91
701,1340,Suarez,m,69
357,1130,Rodriguez,m,87
853,1868,Pearson,m,64
405,1312,Matthews,m,50
345,1530,Marshall,f,81
84,1267,Jones,f,23
285,1337,Hughes,m,14
566,1802,Bailey,m,67
745,1017,Ellis,f,74
128,1800,Aguilar,f,57
445,1424,Espinoza,f,15
116,1276,Duncan,f,91
618,1470,Trujillo,m,54
283,1709,Shaw,f,25
543,1126,Warren,f,42
995,1698,King,m,79
74,1035,Rogers,f,16
657,1186,Everett,m,70
896,1876,Page,f,45
916,1771,Hernandez,m,92
32,1006,Spencer,m,87
700,1939,Dyer,m,26
665,1768,Smith,m,76
849,1927,Buchanan,m,75
770,1506,Clark,m,53
270,1679,Lee,f,16
766,1054,Cole,m,19
257,1678,Owens,f,98
793,1936,Potter,m,49
966,1765,Payne,f,38
190,1542,Stanton,f,42
850,1275,Christensen,m,38
612,1464,Shea,m,39
350,1060,Cruz,f,14
109,1437,Oconnor,m,16
607,1886,Willis,m,68
468,1140,Baker,f,64
81,1483,Cox,m,36
964,1978,Smith,m,72
22,1553,Ruiz,m,46
563,1787,White,f,29
108,1569,Brooks,f,29
19,1701,Lane,m,78
760,1007,Todd,m,65
249,1981,Taylor,m,23
385,1614,Harris,f,94
129,1271,Hawkins,f,14
895,1191,Wood,m,68
302,1134,Jefferson,m,66
458,1484,Haynes,f,53
205,1322,Howard,m,43
47,1071,Lewis,m,15
312,1410,Ruiz,m,14
580,1050,Scott,f,20
156,1270,Haynes,f,75
591,1704,Harvey,f,36
226,1847,Ponce,m,49
985,1866,Smith,f,62
433,1686,Ball,m,40
891,1930,Black,m,81
951,1596,Little,m,60
338,1526,Smith,f,53
327,1453,Holland,f,85
261,1056,Colon,m,40
588,1634,Woods,f,66
662,1857,Yates,m,87
273,1878,Chang,m,47
337,1264,Bailey,f,66
541,1914,Pham,m,86
810,1543,Patton,f,77
180,1805,Harper,f,48
503,1746,Walton,m,86
45,1003,Gutierrez,f,27
422,1839,Arellano,f,18
962,1152,Rodriguez,f,35
154,1600,Harrison,f,83
213,1952,Odonnell,m,95
271,1479,Edwards,f,77
687,1384,Montgomery,m,64
59,1389,Donovan,f,42
